symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
NFLXx/EUR,9,44.4,7.23,5.32,0.9,-0.9,22.25,-3.34,1072.28
GLDx/EUR,19,57.9,5.92,3.1,1.19,-0.75,7.95,-3.53,1059.18
NVOx/EUR,7,42.9,2.02,1.76,0.39,-1.71,15.6,-6.64,1020.24
SLVx/EUR,16,37.5,4.27,1.76,0.53,-2.23,16.43,-5.59,1042.68
CRWDx/EUR,13,46.2,7.27,2.38,0.74,-2.63,20.92,-7.55,1072.67
XOMx/EUR,11,45.5,1.12,1.36,0.23,-2.04,8.55,-5.25,1011.23
