symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
ETH/EUR,19,31.6,1.48,1.24,0.12,-2.87,12.94,-4.83,1014.82
BTC/EUR,19,26.3,-0.16,0.96,-0.02,-1.53,6.98,-2.61,998.41
SOL/EUR,17,35.3,2.91,1.45,0.19,-2.34,15.67,-5.91,1029.07
BNB/EUR,28,28.6,-1.77,0.8,-0.14,-4.35,8.97,-4.47,982.34
AAPLx/EUR,3,33.3,1.11,2.41,0.7,-0.43,18.9,-3.92,1011.05
MSFTx/EUR,4,25.0,1.4,1.98,0.45,-0.9,28.24,-4.75,1013.98
NVDAx/EUR,4,50.0,1.2,1.45,0.28,-2.69,19.5,-13.47,1012.05
GOOGx/EUR,5,60.0,3.12,3.12,0.91,-1.47,15.3,-7.36,1031.17
PLTRx/EUR,7,28.6,5.35,2.07,0.66,-2.88,51.76,-10.01,1053.47
METAx/EUR,7,28.6,0.31,1.1,0.18,-1.08,16.29,-5.9,1003.08
GLDx/EUR,5,80.0,3.53,11.07,1.48,-0.34,9.69,-3.5,1035.26
AVGOx/EUR,4,50.0,3.64,2.79,0.8,-1.0,28.42,-10.19,1036.45
AMDx/EUR,5,20.0,1.13,1.41,0.27,-2.08,39.02,-6.93,1011.28
TON/EUR,13,30.8,-1.49,0.69,-0.18,-2.14,8.29,-5.34,985.11
CRWDx/EUR,4,25.0,-0.84,0.33,-0.79,-0.84,4.12,-4.17,991.62
NFLXx/EUR,2,50.0,0.97,2.7,0.55,-0.57,15.35,-5.69,1009.66
