symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
ETH/EUR,18,33.3,1.22,1.21,0.12,-2.87,11.87,-4.92,1012.2
BTC/EUR,17,29.4,0.58,1.18,0.09,-1.42,7.76,-2.75,1005.83
BNB/EUR,29,41.4,0.44,1.05,0.04,-4.67,8.19,-5.53,1004.35
SOL/EUR,19,31.6,1.63,1.2,0.13,-1.65,16.54,-6.38,1016.27
NVDAx/EUR,5,40.0,2.04,1.73,0.54,-1.49,24.2,-9.35,1020.35
AAPLx/EUR,3,66.7,1.53,5.44,1.16,0.0,9.39,-3.45,1015.33
TSLAx/EUR,5,20.0,-0.7,0.78,-0.2,-1.86,24.55,-7.89,992.99
MSFTx/EUR,4,50.0,2.26,3.44,0.93,-0.9,15.92,-4.63,1022.59
LINK/EUR,22,27.3,-1.46,0.87,-0.08,-4.36,16.22,-7.0,985.39
TON/EUR,15,33.3,0.17,1.03,0.02,-1.89,12.09,-5.88,1001.69
AVAX/EUR,22,27.3,-2.86,0.75,-0.17,-4.04,14.41,-7.19,971.45
METAx/EUR,3,33.3,-0.2,0.83,0.01,-0.95,9.69,-5.86,997.97
GOOGx/EUR,5,60.0,4.22,3.57,1.2,-1.55,19.53,-8.21,1042.17
AMZNx/EUR,7,14.3,-3.11,0.07,-2.16,-3.32,2.2,-5.55,968.88
PLTRx/EUR,5,40.0,2.45,1.62,0.38,-2.31,32.16,-13.27,1024.49
AMDx/EUR,6,33.3,2.08,1.5,0.45,-2.94,31.2,-10.4,1020.82
GLDx/EUR,7,57.1,2.69,3.74,1.38,-0.63,9.19,-3.28,1026.93
AVGOx/EUR,4,50.0,4.61,3.55,0.94,-1.42,32.06,-9.03,1046.05
NFLXx/EUR,2,50.0,0.5,1.49,0.28,-1.02,15.28,-10.24,1005.04
CRWDx/EUR,2,50.0,1.2,4.28,0.76,-0.36,15.7,-3.67,1012.03
