symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
PLTRx/EUR,18,33.3,44.41,3.06,0.73,-8.74,109.92,-17.96,1444.07
AAPLx/EUR,21,38.1,1.88,1.2,0.18,-3.46,13.82,-7.06,1018.78
GLDx/EUR,22,59.1,11.37,4.02,1.09,-1.03,11.64,-4.18,1113.65
MSFTx/EUR,15,46.7,4.36,1.77,0.47,-2.54,14.3,-7.06,1043.55
NVDAx/EUR,21,52.4,22.39,3.31,0.82,-2.62,29.15,-9.68,1223.89
GOOGx/EUR,14,57.1,19.29,4.57,1.07,-1.8,30.86,-9.01,1192.85
AMDx/EUR,18,27.8,1.05,1.07,0.09,-5.69,31.57,-11.33,1010.51
AVGOx/EUR,21,42.9,21.8,3.28,0.98,-2.24,34.87,-7.98,1217.99
METAx/EUR,18,44.4,14.31,2.57,0.72,-2.9,29.29,-9.12,1143.1
NFLXx/EUR,14,57.1,14.32,3.67,0.92,-1.68,24.6,-8.93,1143.22
CRWDx/EUR,21,47.6,10.12,1.95,0.67,-2.18,20.76,-9.68,1101.17
