symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
BTC/EUR,16,31.2,0.81,1.27,0.11,-1.42,7.6,-2.72,1008.13
ETH/EUR,17,35.3,2.27,1.41,0.19,-2.87,13.04,-5.05,1022.71
BNB/EUR,24,37.5,0.1,1.01,0.02,-4.35,8.42,-4.98,1000.99
SOL/EUR,15,33.3,1.91,1.36,0.16,-2.34,14.45,-5.32,1019.07
NVDAx/EUR,5,40.0,3.03,2.07,0.68,-1.49,29.23,-9.4,1030.26
AAPLx/EUR,3,33.3,1.45,3.89,0.93,-0.15,19.56,-2.51,1014.53
MSFTx/EUR,3,33.3,2.06,4.7,0.79,-0.54,26.17,-2.79,1020.6
TON/EUR,14,35.7,0.49,1.1,0.05,-1.6,11.11,-5.63,1004.86
METAx/EUR,3,33.3,-0.2,0.83,0.01,-0.95,9.69,-5.86,997.97
LINK/EUR,19,26.3,-0.94,0.89,-0.05,-3.31,14.73,-5.93,990.62
AVAX/EUR,19,31.6,-2.58,0.73,-0.16,-3.98,11.46,-7.28,974.2
GOOGx/EUR,3,100.0,5.13,inf,1.51,0.0,17.1,0,1051.29
PLTRx/EUR,6,16.7,2.31,1.43,0.32,-2.88,76.57,-10.69,1023.11
AVGOx/EUR,4,50.0,5.56,4.07,0.98,-1.42,36.85,-9.05,1055.6
AMDx/EUR,5,20.0,0.8,1.25,0.2,-2.08,40.11,-8.02,1008.03
GLDx/EUR,5,80.0,3.43,10.81,1.57,-0.34,9.45,-3.5,1034.29
CRWDx/EUR,2,50.0,1.2,4.28,0.76,-0.36,15.7,-3.67,1012.03
NFLXx/EUR,2,50.0,0.5,1.49,0.28,-1.02,15.28,-10.24,1005.04
