symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
NVDAx/EUR,6,50.0,1.93,1.79,0.49,-1.24,14.59,-8.16,1019.28
AAPLx/EUR,6,66.7,1.15,2.23,0.71,-0.92,5.23,-4.69,1011.53
MSFTx/EUR,3,33.3,2.19,4.86,0.8,-0.55,27.52,-2.83,1021.85
SOL/EUR,30,36.7,0.38,1.05,0.05,-1.86,7.84,-4.34,1003.79
BNB/EUR,36,36.1,-1.27,0.85,-0.12,-4.37,5.64,-3.74,987.26
ETH/EUR,30,30.0,2.38,1.29,0.14,-2.77,11.9,-3.97,1023.82
TON/EUR,21,33.3,-1.44,0.78,-0.13,-3.03,7.48,-4.77,985.62
BTC/EUR,27,37.0,0.58,1.16,0.09,-1.25,4.13,-2.09,1005.76
METAx/EUR,5,20.0,-0.53,0.72,-0.17,-1.68,13.85,-4.79,994.68
AMDx/EUR,8,25.0,1.21,1.28,0.26,-2.37,27.38,-7.11,1012.12
GOOGx/EUR,4,50.0,5.95,5.19,1.14,-0.83,36.84,-7.1,1059.47
PLTRx/EUR,5,20.0,4.83,2.53,0.61,-1.62,79.82,-7.88,1048.29
AVGOx/EUR,6,66.7,4.87,3.04,0.88,-1.31,18.12,-11.9,1048.65
GLDx/EUR,9,66.7,4.05,6.66,1.35,-0.34,7.95,-2.39,1040.54
NFLXx/EUR,3,33.3,0.37,1.22,0.17,-1.02,20.14,-8.22,1003.7
CRWDx/EUR,5,40.0,-0.17,0.94,-0.05,-1.25,13.32,-9.46,998.27
